datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2008-12-25 00:00:00-05:00,2008-12-25 00:00:00,,,015765185,,,,,1.85,"A, e",,,,,,,2008-12-25 00:00:00-05:00
2008-12-26 00:00:00-05:00,2008-12-26 00:00:00,,,015765185,,,,,1.55,"A, e",,,,,,,2008-12-26 00:00:00-05:00
2008-12-27 00:00:00-05:00,2008-12-27 00:00:00,,,015765185,,,,,1.79,"A, e",,,,,,,2008-12-27 00:00:00-05:00
2008-12-28 00:00:00-05:00,2008-12-28 00:00:00,,,015765185,,,,,1.63,"A, e",,,,,,,2008-12-28 00:00:00-05:00
2008-12-29 00:00:00-05:00,2008-12-29 00:00:00,,,015765185,,,,,1.43,"A, e",,,,,,,2008-12-29 00:00:00-05:00
2008-12-30 00:00:00-05:00,2008-12-30 00:00:00,,,015765185,,,,,1.28,"A, e",,,,,,,2008-12-30 00:00:00-05:00
2008-12-31 00:00:00-05:00,2008-12-31 00:00:00,,,015765185,,,,,1.22,"A, e",,,,,,,2008-12-31 00:00:00-05:00
2009-01-01 00:00:00-05:00,2009-01-01 00:00:00,,,015765185,,,,,1.11,"A, e",,,,,,,2009-01-01 00:00:00-05:00
2009-01-02 00:00:00-05:00,2009-01-02 00:00:00,,,015765185,,,,,1.22,"A, e",,,,,,,2009-01-02 00:00:00-05:00
2009-01-03 00:00:00-05:00,2009-01-03 00:00:00,,,015765185,,,,,1.11,"A, e",,,,,,,2009-01-03 00:00:00-05:00
2009-01-04 00:00:00-05:00,2009-01-04 00:00:00,,,015765185,,,,,1.13,"A, e",,,,,,,2009-01-04 00:00:00-05:00
2009-01-05 00:00:00-05:00,2009-01-05 00:00:00,,,015765185,,,,,1.0,"A, e",,,,,,,2009-01-05 00:00:00-05:00
2009-01-06 00:00:00-05:00,2009-01-06 00:00:00,,,015765185,,,,,1.0,"A, e",,,,,,,2009-01-06 00:00:00-05:00
2009-01-07 00:00:00-05:00,2009-01-07 00:00:00,,,015765185,,,,,5.99,"A, e",,,,,,,2009-01-07 00:00:00-05:00
2009-01-08 00:00:00-05:00,2009-01-08 00:00:00,,,015765185,,,,,2.23,"A, e",,,,,,,2009-01-08 00:00:00-05:00
2009-01-09 00:00:00-05:00,2009-01-09 00:00:00,,,015765185,,,,,1.3,"A, e",,,,,,,2009-01-09 00:00:00-05:00
2009-01-10 00:00:00-05:00,2009-01-10 00:00:00,,,015765185,,,,,1.2,"A, e",,,,,,,2009-01-10 00:00:00-05:00
2009-01-11 00:00:00-05:00,2009-01-11 00:00:00,,,015765185,,,,,1.07,"A, e",,,,,,,2009-01-11 00:00:00-05:00
2009-01-12 00:00:00-05:00,2009-01-12 00:00:00,,,015765185,,,,,1.02,"A, e",,,,,,,2009-01-12 00:00:00-05:00
2009-01-13 00:00:00-05:00,2009-01-13 00:00:00,,,015765185,,,,,1.02,"A, e",,,,,,,2009-01-13 00:00:00-05:00
2009-01-14 00:00:00-05:00,2009-01-14 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-01-14 00:00:00-05:00
2009-01-15 00:00:00-05:00,2009-01-15 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-01-15 00:00:00-05:00
2009-01-16 00:00:00-05:00,2009-01-16 00:00:00,,,015765185,,,,,0.9,"A, e",,,,,,,2009-01-16 00:00:00-05:00
2009-01-17 00:00:00-05:00,2009-01-17 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-01-17 00:00:00-05:00
2009-01-18 00:00:00-05:00,2009-01-18 00:00:00,,,015765185,,,,,1.0,"A, e",,,,,,,2009-01-18 00:00:00-05:00
