datetime,daily_SSC_Load,daily_count,site_no
2009-07-08 00:00:00-05:00,0.905,96,01576516
2009-07-09 00:00:00-05:00,0.893,96,01576516
2009-07-10 00:00:00-05:00,0.8809999999999999,95,01576516
2009-07-11 00:00:00-05:00,0.826,96,01576516
2009-07-12 00:00:00-05:00,0.846,96,01576516
2009-07-13 00:00:00-05:00,0.83,96,01576516
2009-07-14 00:00:00-05:00,0.74,96,01576516
2009-07-15 00:00:00-05:00,0.649,95,01576516
2009-07-16 00:00:00-05:00,0.669,95,01576516
2009-07-17 00:00:00-05:00,0.207,29,01576516
2009-07-18 00:00:00-05:00,0.643,74,01576516
2009-07-19 00:00:00-05:00,0.736,95,01576516
2009-07-20 00:00:00-05:00,0.488,96,01576516
2009-07-21 00:00:00-05:00,0.441,95,01576516
2009-07-22 00:00:00-05:00,0.505,96,01576516
2009-07-23 00:00:00-05:00,0.573,96,01576516
2009-07-24 00:00:00-05:00,1.47,96,01576516
2009-07-25 00:00:00-05:00,0.628,95,01576516
2009-07-26 00:00:00-05:00,0.5670000000000001,94,01576516
2009-07-27 00:00:00-05:00,0.5870000000000001,95,01576516
2009-07-28 00:00:00-05:00,0.602,96,01576516
2009-07-29 00:00:00-05:00,0.613,96,01576516
2009-07-30 00:00:00-05:00,0.616,96,01576516
2009-07-31 00:00:00-05:00,0.6729999999999999,94,01576516
2009-08-01 00:00:00-05:00,0.629,96,01576516
2009-08-02 00:00:00-05:00,1.36,96,01576516
2009-08-03 00:00:00-05:00,0.623,96,01576516
2009-08-04 00:00:00-05:00,0.63,96,01576516
2009-08-05 00:00:00-05:00,0.531,96,01576516
2009-08-06 00:00:00-05:00,0.49200000000000005,96,01576516
2009-08-07 00:00:00-05:00,0.474,96,01576516
2009-08-08 00:00:00-05:00,0.46,96,01576516
2009-08-09 00:00:00-05:00,0.675,96,01576516
2009-08-10 00:00:00-05:00,0.42100000000000004,96,01576516
2009-08-11 00:00:00-05:00,0.382,95,01576516
2009-08-12 00:00:00-05:00,1.14,96,01576516
2009-08-13 00:00:00-05:00,10.9,96,01576516
2009-08-14 00:00:00-05:00,0.442,95,01576516
2009-08-15 00:00:00-05:00,0.38299999999999995,96,01576516
2009-08-16 00:00:00-05:00,0.35,96,01576516
2009-08-17 00:00:00-05:00,0.324,96,01576516
2009-08-18 00:00:00-05:00,0.445,96,01576516
2009-08-19 00:00:00-05:00,0.35600000000000004,96,01576516
2009-08-20 00:00:00-05:00,0.34600000000000003,96,01576516
2009-08-21 00:00:00-05:00,0.557,96,01576516
2009-08-22 00:00:00-05:00,1.7,96,01576516
2009-08-23 00:00:00-05:00,0.64,96,01576516
2009-08-24 00:00:00-05:00,0.479,96,01576516
2009-08-25 00:00:00-05:00,0.41100000000000003,93,01576516
2009-08-26 00:00:00-05:00,0.415,95,01576516
2009-08-27 00:00:00-05:00,0.39399999999999996,94,01576516
2009-08-28 00:00:00-05:00,14.8,96,01576516
2009-08-29 00:00:00-05:00,8.19,96,01576516
2009-08-30 00:00:00-05:00,0.449,95,01576516
2009-08-31 00:00:00-05:00,0.344,96,01576516
2009-09-01 00:00:00-05:00,0.365,96,01576516
2009-09-02 00:00:00-05:00,0.34,95,01576516
2009-09-03 00:00:00-05:00,0.322,96,01576516
2009-09-04 00:00:00-05:00,0.295,95,01576516
2009-09-05 00:00:00-05:00,0.284,94,01576516
2009-09-06 00:00:00-05:00,0.26,94,01576516
2009-09-07 00:00:00-05:00,0.23800000000000002,93,01576516
2009-09-08 00:00:00-05:00,0.25,96,01576516
2009-09-09 00:00:00-05:00,0.307,96,01576516
2009-09-10 00:00:00-05:00,0.301,96,01576516
2009-09-11 00:00:00-05:00,25.5,95,01576516
2009-09-12 00:00:00-05:00,1.61,96,01576516
2009-09-13 00:00:00-05:00,0.977,96,01576516
2009-09-14 00:00:00-05:00,1.06,96,01576516
2009-09-15 00:00:00-05:00,0.8220000000000001,96,01576516
2009-09-16 00:00:00-05:00,0.723,96,01576516
2009-09-17 00:00:00-05:00,0.698,96,01576516
2009-09-18 00:00:00-05:00,0.6970000000000001,96,01576516
2009-09-19 00:00:00-05:00,0.6990000000000001,95,01576516
2009-09-20 00:00:00-05:00,0.664,96,01576516
2009-09-21 00:00:00-05:00,0.64,96,01576516
2009-09-22 00:00:00-05:00,0.7709999999999999,94,01576516
2009-09-23 00:00:00-05:00,0.937,96,01576516
2009-09-24 00:00:00-05:00,1.03,96,01576516
2009-09-25 00:00:00-05:00,0.943,96,01576516
2009-09-26 00:00:00-05:00,0.8240000000000001,94,01576516
2009-09-27 00:00:00-05:00,1.26,96,01576516
2009-09-28 00:00:00-05:00,0.652,96,01576516
2009-09-29 00:00:00-05:00,0.636,96,01576516
